Experiment,Ground State Energy,Best Measurement,Execution Time (seconds),Number of qubits,shots,Fraction,Sorted Bitstrings
"Aer Simulation XY QAOA, post-selected",2.4287966191768646,001010100,15.168286800384521,9,5000,1.0,"[('001010100', {'probability': 0.036230048137826196, 'energy': np.float64(-8.225980073213577), 'count': 1}), ('001001100', {'probability': 0.0532049657968077, 'energy': np.float64(-7.916540861129761), 'count': 1}), ('001100100', {'probability': 0.0529516088168229, 'energy': np.float64(-7.781579405069351), 'count': 1}), ('010010100', {'probability': 0.027615910818343047, 'energy': np.float64(-7.152616590261459), 'count': 1}), ('100010100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.961184740066528), 'count': 1}), ('010001100', {'probability': 0.03724347605776539, 'energy': np.float64(-6.843177303671837), 'count': 1}), ('010100100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.7082057893276215), 'count': 1}), ('100001100', {'probability': 0.05523182163668609, 'energy': np.float64(-6.651745423674583), 'count': 1}), ('001100010', {'probability': 0.03040283759817583, 'energy': np.float64(-6.621839702129364), 'count': 1}), ('100100100', {'probability': 0.043577400557385355, 'energy': np.float64(-6.516773909330368), 'count': 1}), ('010100010', {'probability': 0.02660248289840385, 'energy': np.float64(-5.548466086387634), 'count': 1}), ('001010010', {'probability': 0.025589054978464656, 'energy': np.float64(-5.420851826667786), 'count': 1}), ('100100010', {'probability': 0.028122624778312646, 'energy': np.float64(-5.357034206390381), 'count': 1}), ('001100001', {'probability': 0.05523182163668609, 'energy': np.float64(-5.116922199726105), 'count': 1}), ('001001010', {'probability': 0.035216620217887004, 'energy': np.float64(-4.5738169848918915), 'count': 1}), ('010010010', {'probability': 0.01393463389916392, 'energy': np.float64(-4.347488343715668), 'count': 1}), ('100010010', {'probability': 0.022295414238662277, 'energy': np.float64(-4.156056493520737), 'count': 1}), ('010100001', {'probability': 0.032936407398023816, 'energy': np.float64(-4.043548583984375), 'count': 1}), ('100100001', {'probability': 0.054978464656701295, 'energy': np.float64(-3.8521167039871216), 'count': 1}), ('010001010', {'probability': 0.02482898403851026, 'energy': np.float64(-3.5004534274339676), 'count': 1}), ('100001010', {'probability': 0.0354699771978718, 'energy': np.float64(-3.309021547436714), 'count': 1}), ('001010001', {'probability': 0.03724347605776539, 'energy': np.float64(-2.969212055206299), 'count': 1}), ('010010001', {'probability': 0.023815556118571068, 'energy': np.float64(-1.895848572254181), 'count': 1}), ('100010001', {'probability': 0.0357233341778566, 'energy': np.float64(-1.7044167220592499), 'count': 1}), ('001001001', {'probability': 0.0532049657968077, 'energy': np.float64(-0.9622462689876556), 'count': 1}), ('010001001', {'probability': 0.0354699771978718, 'energy': np.float64(0.11111728847026825), 'count': 1}), ('100001001', {'probability': 0.06105903217633646, 'energy': np.float64(0.30254916846752167), 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.4287966191768646,001010100,15.263094186782837,9,5000,1.0,"[('001010100', {'probability': 0.036230048137826196, 'energy': np.float64(-8.225980073213577), 'count': 1}), ('001001100', {'probability': 0.0532049657968077, 'energy': np.float64(-7.916540861129761), 'count': 1}), ('001100100', {'probability': 0.0529516088168229, 'energy': np.float64(-7.781579405069351), 'count': 1}), ('010010100', {'probability': 0.027615910818343047, 'energy': np.float64(-7.152616590261459), 'count': 1}), ('100010100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.961184740066528), 'count': 1}), ('010001100', {'probability': 0.03724347605776539, 'energy': np.float64(-6.843177303671837), 'count': 1}), ('010100100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.7082057893276215), 'count': 1}), ('100001100', {'probability': 0.05523182163668609, 'energy': np.float64(-6.651745423674583), 'count': 1}), ('001100010', {'probability': 0.03040283759817583, 'energy': np.float64(-6.621839702129364), 'count': 1}), ('100100100', {'probability': 0.043577400557385355, 'energy': np.float64(-6.516773909330368), 'count': 1}), ('010100010', {'probability': 0.02660248289840385, 'energy': np.float64(-5.548466086387634), 'count': 1}), ('001010010', {'probability': 0.025589054978464656, 'energy': np.float64(-5.420851826667786), 'count': 1}), ('100100010', {'probability': 0.028122624778312646, 'energy': np.float64(-5.357034206390381), 'count': 1}), ('001100001', {'probability': 0.05523182163668609, 'energy': np.float64(-5.116922199726105), 'count': 1}), ('001001010', {'probability': 0.035216620217887004, 'energy': np.float64(-4.5738169848918915), 'count': 1}), ('010010010', {'probability': 0.01393463389916392, 'energy': np.float64(-4.347488343715668), 'count': 1}), ('100010010', {'probability': 0.022295414238662277, 'energy': np.float64(-4.156056493520737), 'count': 1}), ('010100001', {'probability': 0.032936407398023816, 'energy': np.float64(-4.043548583984375), 'count': 1}), ('100100001', {'probability': 0.054978464656701295, 'energy': np.float64(-3.8521167039871216), 'count': 1}), ('010001010', {'probability': 0.02482898403851026, 'energy': np.float64(-3.5004534274339676), 'count': 1}), ('100001010', {'probability': 0.0354699771978718, 'energy': np.float64(-3.309021547436714), 'count': 1}), ('001010001', {'probability': 0.03724347605776539, 'energy': np.float64(-2.969212055206299), 'count': 1}), ('010010001', {'probability': 0.023815556118571068, 'energy': np.float64(-1.895848572254181), 'count': 1}), ('100010001', {'probability': 0.0357233341778566, 'energy': np.float64(-1.7044167220592499), 'count': 1}), ('001001001', {'probability': 0.0532049657968077, 'energy': np.float64(-0.9622462689876556), 'count': 1}), ('010001001', {'probability': 0.0354699771978718, 'energy': np.float64(0.11111728847026825), 'count': 1}), ('100001001', {'probability': 0.06105903217633646, 'energy': np.float64(0.30254916846752167), 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.4287966191768646,001010100,15.470032930374146,9,5000,1.0,"[('001010100', {'probability': 0.036230048137826196, 'energy': np.float64(-8.225980073213577), 'count': 1}), ('001001100', {'probability': 0.0532049657968077, 'energy': np.float64(-7.916540861129761), 'count': 1}), ('001100100', {'probability': 0.0529516088168229, 'energy': np.float64(-7.781579405069351), 'count': 1}), ('010010100', {'probability': 0.027615910818343047, 'energy': np.float64(-7.152616590261459), 'count': 1}), ('100010100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.961184740066528), 'count': 1}), ('010001100', {'probability': 0.03724347605776539, 'energy': np.float64(-6.843177303671837), 'count': 1}), ('010100100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.7082057893276215), 'count': 1}), ('100001100', {'probability': 0.05523182163668609, 'energy': np.float64(-6.651745423674583), 'count': 1}), ('001100010', {'probability': 0.03040283759817583, 'energy': np.float64(-6.621839702129364), 'count': 1}), ('100100100', {'probability': 0.043577400557385355, 'energy': np.float64(-6.516773909330368), 'count': 1}), ('010100010', {'probability': 0.02660248289840385, 'energy': np.float64(-5.548466086387634), 'count': 1}), ('001010010', {'probability': 0.025589054978464656, 'energy': np.float64(-5.420851826667786), 'count': 1}), ('100100010', {'probability': 0.028122624778312646, 'energy': np.float64(-5.357034206390381), 'count': 1}), ('001100001', {'probability': 0.05523182163668609, 'energy': np.float64(-5.116922199726105), 'count': 1}), ('001001010', {'probability': 0.035216620217887004, 'energy': np.float64(-4.5738169848918915), 'count': 1}), ('010010010', {'probability': 0.01393463389916392, 'energy': np.float64(-4.347488343715668), 'count': 1}), ('100010010', {'probability': 0.022295414238662277, 'energy': np.float64(-4.156056493520737), 'count': 1}), ('010100001', {'probability': 0.032936407398023816, 'energy': np.float64(-4.043548583984375), 'count': 1}), ('100100001', {'probability': 0.054978464656701295, 'energy': np.float64(-3.8521167039871216), 'count': 1}), ('010001010', {'probability': 0.02482898403851026, 'energy': np.float64(-3.5004534274339676), 'count': 1}), ('100001010', {'probability': 0.0354699771978718, 'energy': np.float64(-3.309021547436714), 'count': 1}), ('001010001', {'probability': 0.03724347605776539, 'energy': np.float64(-2.969212055206299), 'count': 1}), ('010010001', {'probability': 0.023815556118571068, 'energy': np.float64(-1.895848572254181), 'count': 1}), ('100010001', {'probability': 0.0357233341778566, 'energy': np.float64(-1.7044167220592499), 'count': 1}), ('001001001', {'probability': 0.0532049657968077, 'energy': np.float64(-0.9622462689876556), 'count': 1}), ('010001001', {'probability': 0.0354699771978718, 'energy': np.float64(0.11111728847026825), 'count': 1}), ('100001001', {'probability': 0.06105903217633646, 'energy': np.float64(0.30254916846752167), 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.4287966191768646,001010100,15.78067684173584,9,5000,1.0,"[('001010100', {'probability': 0.036230048137826196, 'energy': np.float64(-8.225980073213577), 'count': 1}), ('001001100', {'probability': 0.0532049657968077, 'energy': np.float64(-7.916540861129761), 'count': 1}), ('001100100', {'probability': 0.0529516088168229, 'energy': np.float64(-7.781579405069351), 'count': 1}), ('010010100', {'probability': 0.027615910818343047, 'energy': np.float64(-7.152616590261459), 'count': 1}), ('100010100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.961184740066528), 'count': 1}), ('010001100', {'probability': 0.03724347605776539, 'energy': np.float64(-6.843177303671837), 'count': 1}), ('010100100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.7082057893276215), 'count': 1}), ('100001100', {'probability': 0.05523182163668609, 'energy': np.float64(-6.651745423674583), 'count': 1}), ('001100010', {'probability': 0.03040283759817583, 'energy': np.float64(-6.621839702129364), 'count': 1}), ('100100100', {'probability': 0.043577400557385355, 'energy': np.float64(-6.516773909330368), 'count': 1}), ('010100010', {'probability': 0.02660248289840385, 'energy': np.float64(-5.548466086387634), 'count': 1}), ('001010010', {'probability': 0.025589054978464656, 'energy': np.float64(-5.420851826667786), 'count': 1}), ('100100010', {'probability': 0.028122624778312646, 'energy': np.float64(-5.357034206390381), 'count': 1}), ('001100001', {'probability': 0.05523182163668609, 'energy': np.float64(-5.116922199726105), 'count': 1}), ('001001010', {'probability': 0.035216620217887004, 'energy': np.float64(-4.5738169848918915), 'count': 1}), ('010010010', {'probability': 0.01393463389916392, 'energy': np.float64(-4.347488343715668), 'count': 1}), ('100010010', {'probability': 0.022295414238662277, 'energy': np.float64(-4.156056493520737), 'count': 1}), ('010100001', {'probability': 0.032936407398023816, 'energy': np.float64(-4.043548583984375), 'count': 1}), ('100100001', {'probability': 0.054978464656701295, 'energy': np.float64(-3.8521167039871216), 'count': 1}), ('010001010', {'probability': 0.02482898403851026, 'energy': np.float64(-3.5004534274339676), 'count': 1}), ('100001010', {'probability': 0.0354699771978718, 'energy': np.float64(-3.309021547436714), 'count': 1}), ('001010001', {'probability': 0.03724347605776539, 'energy': np.float64(-2.969212055206299), 'count': 1}), ('010010001', {'probability': 0.023815556118571068, 'energy': np.float64(-1.895848572254181), 'count': 1}), ('100010001', {'probability': 0.0357233341778566, 'energy': np.float64(-1.7044167220592499), 'count': 1}), ('001001001', {'probability': 0.0532049657968077, 'energy': np.float64(-0.9622462689876556), 'count': 1}), ('010001001', {'probability': 0.0354699771978718, 'energy': np.float64(0.11111728847026825), 'count': 1}), ('100001001', {'probability': 0.06105903217633646, 'energy': np.float64(0.30254916846752167), 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.4287966191768646,001010100,15.78067684173584,9,5000,1.0,"[('001010100', {'probability': 0.036230048137826196, 'energy': np.float64(-8.225980073213577), 'count': 1}), ('001001100', {'probability': 0.0532049657968077, 'energy': np.float64(-7.916540861129761), 'count': 1}), ('001100100', {'probability': 0.0529516088168229, 'energy': np.float64(-7.781579405069351), 'count': 1}), ('010010100', {'probability': 0.027615910818343047, 'energy': np.float64(-7.152616590261459), 'count': 1}), ('100010100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.961184740066528), 'count': 1}), ('010001100', {'probability': 0.03724347605776539, 'energy': np.float64(-6.843177303671837), 'count': 1}), ('010100100', {'probability': 0.03090955155814543, 'energy': np.float64(-6.7082057893276215), 'count': 1}), ('100001100', {'probability': 0.05523182163668609, 'energy': np.float64(-6.651745423674583), 'count': 1}), ('001100010', {'probability': 0.03040283759817583, 'energy': np.float64(-6.621839702129364), 'count': 1}), ('100100100', {'probability': 0.043577400557385355, 'energy': np.float64(-6.516773909330368), 'count': 1}), ('010100010', {'probability': 0.02660248289840385, 'energy': np.float64(-5.548466086387634), 'count': 1}), ('001010010', {'probability': 0.025589054978464656, 'energy': np.float64(-5.420851826667786), 'count': 1}), ('100100010', {'probability': 0.028122624778312646, 'energy': np.float64(-5.357034206390381), 'count': 1}), ('001100001', {'probability': 0.05523182163668609, 'energy': np.float64(-5.116922199726105), 'count': 1}), ('001001010', {'probability': 0.035216620217887004, 'energy': np.float64(-4.5738169848918915), 'count': 1}), ('010010010', {'probability': 0.01393463389916392, 'energy': np.float64(-4.347488343715668), 'count': 1}), ('100010010', {'probability': 0.022295414238662277, 'energy': np.float64(-4.156056493520737), 'count': 1}), ('010100001', {'probability': 0.032936407398023816, 'energy': np.float64(-4.043548583984375), 'count': 1}), ('100100001', {'probability': 0.054978464656701295, 'energy': np.float64(-3.8521167039871216), 'count': 1}), ('010001010', {'probability': 0.02482898403851026, 'energy': np.float64(-3.5004534274339676), 'count': 1}), ('100001010', {'probability': 0.0354699771978718, 'energy': np.float64(-3.309021547436714), 'count': 1}), ('001010001', {'probability': 0.03724347605776539, 'energy': np.float64(-2.969212055206299), 'count': 1}), ('010010001', {'probability': 0.023815556118571068, 'energy': np.float64(-1.895848572254181), 'count': 1}), ('100010001', {'probability': 0.0357233341778566, 'energy': np.float64(-1.7044167220592499), 'count': 1}), ('001001001', {'probability': 0.0532049657968077, 'energy': np.float64(-0.9622462689876556), 'count': 1}), ('010001001', {'probability': 0.0354699771978718, 'energy': np.float64(0.11111728847026825), 'count': 1}), ('100001001', {'probability': 0.06105903217633646, 'energy': np.float64(0.30254916846752167), 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",17.437038481235504,010100100,0.26337623596191406,9,5000,1.0,"[('010100100', {'probability': 0.0002, 'energy': -18.51421356201172, 'count': 1}), ('100100100', {'probability': 0.9998, 'energy': -18.317469596862793, 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",17.437038481235504,010100100,0.25463294982910156,9,5000,1.0,"[('010100100', {'probability': 0.0002, 'energy': -18.51421356201172, 'count': 1}), ('100100100', {'probability': 0.9998, 'energy': -18.317469596862793, 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.556375741958618,010010,18.37136220932007,6,5000,1.0,"[('010010', {'probability': 0.061453849832615974, 'energy': -2.2999461889266968, 'count': 1}), ('001010', {'probability': 0.08106169296987087, 'energy': -2.1361085176467896, 'count': 1}), ('010001', {'probability': 0.08417025346724055, 'energy': -2.004590928554535, 'count': 1}), ('010100', {'probability': 0.10616929698708752, 'energy': -1.9687029123306274, 'count': 1}), ('001001', {'probability': 0.11764705882352941, 'energy': -1.8427587151527405, 'count': 1}), ('100010', {'probability': 0.10927785748445719, 'energy': -1.8125604391098022, 'count': 1}), ('001100', {'probability': 0.13845050215208035, 'energy': -1.8037426471710205, 'count': 1}), ('100001', {'probability': 0.1482544237207078, 'energy': -1.5170232653617859, 'count': 1}), ('100100', {'probability': 0.15351506456241032, 'energy': -1.4827868938446045, 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.556375741958618,010010,18.54737424850464,6,5000,1.0,"[('010010', {'probability': 0.061453849832615974, 'energy': -2.2999461889266968, 'count': 1}), ('001010', {'probability': 0.08106169296987087, 'energy': -2.1361085176467896, 'count': 1}), ('010001', {'probability': 0.08417025346724055, 'energy': -2.004590928554535, 'count': 1}), ('010100', {'probability': 0.10616929698708752, 'energy': -1.9687029123306274, 'count': 1}), ('001001', {'probability': 0.11764705882352941, 'energy': -1.8427587151527405, 'count': 1}), ('100010', {'probability': 0.10927785748445719, 'energy': -1.8125604391098022, 'count': 1}), ('001100', {'probability': 0.13845050215208035, 'energy': -1.8037426471710205, 'count': 1}), ('100001', {'probability': 0.1482544237207078, 'energy': -1.5170232653617859, 'count': 1}), ('100100', {'probability': 0.15351506456241032, 'energy': -1.4827868938446045, 'count': 1})]"
"Aer Simulation XY QAOA, post-selected",2.556375741958618,010010,18.9874370098114,6,5000,1.0,"[('010010', {'probability': 0.061453849832615974, 'energy': -2.2999461889266968, 'count': 1}), ('001010', {'probability': 0.08106169296987087, 'energy': -2.1361085176467896, 'count': 1}), ('010001', {'probability': 0.08417025346724055, 'energy': -2.004590928554535, 'count': 1}), ('010100', {'probability': 0.10616929698708752, 'energy': -1.9687029123306274, 'count': 1}), ('001001', {'probability': 0.11764705882352941, 'energy': -1.8427587151527405, 'count': 1}), ('100010', {'probability': 0.10927785748445719, 'energy': -1.8125604391098022, 'count': 1}), ('001100', {'probability': 0.13845050215208035, 'energy': -1.8037426471710205, 'count': 1}), ('100001', {'probability': 0.1482544237207078, 'energy': -1.5170232653617859, 'count': 1}), ('100100', {'probability': 0.15351506456241032, 'energy': -1.4827868938446045, 'count': 1})]"
