Size,Total Gates,Depth,CNOTs
4,131,55,37
6,228,95,85
6,254,99,105
8,283,82,91
8,386,139,180
9,403,145,190
10,515,144,250
10,410,128,169
12,477,125,187
12,668,180,342
12,643,192,336
12,624,153,307
14,580,172,241
14,881,232,492
15,919,217,524
15,825,226,454
16,587,142,199
16,952,220,524
18,1104,291,639
18,705,170,268
18,1260,255,753
20,802,206,316
20,1352,297,813
20,1474,306,919
21,1241,332,712
21,1600,319,1007
22,899,211,364
24,1005,248,421
24,1848,407,1198
24,1972,376,1284
24,1562,372,939
25,2100,421,1415
26,1009,235,376
27,1783,453,1096
28,2116,431,1355
28,2653,468,1826
28,1106,254,424
30,2858,498,1989
30,1981,478,1200
30,1224,284,493
30,2802,521,1957
32,2678,539,1806
33,2505,607,1660
34,1376,320,547
35,3533,648,2558
35,3876,636,2845
36,3780,620,2730
36,3165,610,2182
36,2694,611,1755
39,2831,680,1828
40,4136,733,3001
40,3766,718,2672
42,2933,693,1836
42,5217,821,3952
42,4714,798,3483
44,3938,716,2733
45,4945,882,3680
45,3496,822,2335
48,5861,942,4449
48,4359,801,3043
49,6806,1030,5337
50,5812,1029,4387
