Size,Total Gates,Depth,CNOTs
4,111,45,31
6,198,63,75
6,177,60,55
8,312,90,144
8,264,82,100
9,346,126,172
10,441,108,226
10,330,93,124
12,549,167,294
12,612,163,352
12,609,145,345
12,396,109,148
14,504,148,214
14,777,178,462
15,793,246,487
15,856,208,536
16,549,157,217
16,894,223,542
18,1137,239,723
18,978,263,591
18,615,175,241
20,1338,273,883
20,1140,258,696
20,681,177,265
20,702,175,286
21,1432,271,950
21,1129,326,691
22,726,180,268
24,1737,308,1173
24,855,207,355
24,1464,378,945
24,1536,336,1000
25,1951,384,1391
26,921,222,379
27,1816,449,1246
28,1008,249,424
28,2487,420,1808
28,2001,397,1373
30,1800,477,1149
30,1767,476,1116
30,1032,249,406
30,2709,483,1995
30,1095,264,469
30,2661,523,1966
32,2508,502,1788
33,2062,553,1360
35,3265,612,2465
35,3637,598,2791
36,3591,596,2727
36,2352,601,1569
36,2850,552,2038
39,2470,640,1636
40,3501,700,2597
40,4035,744,3100
40,3207,626,2303
42,2922,725,2007
42,4875,763,3832
42,4305,714,3291
44,3747,730,2751
45,4708,855,3668
45,3040,765,2074
48,4305,858,3217
48,5385,883,4221
49,6220,951,5010
50,5403,974,4228
