Size,Total Gates,Depth,CNOTs
4,62,28,20
6,105,43,40
6,123,46,57
8,148,55,60
8,205,67,113
9,226,69,123
10,308,82,188
10,194,70,83
12,267,91,133
12,360,105,219
12,387,103,241
12,429,117,279
14,583,129,401
14,298,103,141
15,514,145,336
15,604,132,412
16,329,115,149
16,635,160,435
18,396,130,193
18,678,189,462
18,882,205,639
20,994,229,740
20,472,156,246
20,1036,226,771
21,904,234,651
21,1198,232,901
22,557,181,308
24,1266,297,958
24,1479,283,1143
24,1008,273,717
24,591,187,319
25,1503,304,1166
26,658,211,363
27,1201,316,873
28,2051,346,1638
28,674,216,356
28,1628,374,1266
30,1350,350,984
30,1992,406,1582
30,2148,388,1719
30,729,229,388
32,1975,451,1559
33,1504,397,1101
34,839,267,452
35,3065,520,2537
35,2594,523,2112
36,2997,556,2475
36,1650,435,1209
36,2229,484,1759
39,1837,478,1359
40,2591,564,2067
40,3155,640,2600
42,4134,673,3490
42,1941,501,1425
42,3804,682,3189
44,2980,648,2402
45,2119,551,1566
45,3709,720,3082
48,3414,730,2782
48,4728,832,4020
49,5319,873,4560
50,4552,904,3852
