Size,Total Gates,Depth,CNOTs
4,60,27,20
6,105,42,43
6,120,45,57
8,147,54,63
8,198,63,110
9,222,68,123
10,186,69,80
10,309,86,194
12,240,87,112
12,372,98,232
12,345,101,210
12,438,110,294
14,291,105,141
14,573,132,398
15,579,129,394
15,486,139,315
16,627,150,435
16,333,114,161
18,864,186,630
18,690,188,483
18,366,129,172
20,1011,216,756
20,441,150,225
20,462,155,246
20,972,231,728
21,801,222,558
21,1125,195,838
22,519,170,281
24,939,257,660
24,582,190,322
24,1293,305,997
24,1485,287,1161
25,1515,324,1190
26,591,194,309
27,1116,305,801
28,2061,366,1662
28,687,220,383
28,1572,371,1224
30,690,230,364
30,723,233,397
30,1392,365,1041
30,1320,354,969
30,2247,411,1833
30,1989,405,1594
32,1896,429,1496
33,1386,382,999
35,3018,531,2507
35,2664,543,2199
36,2316,519,1864
36,1734,458,1311
36,3036,552,2532
39,1830,480,1371
40,3117,624,2582
40,2574,566,2070
40,2580,570,2076
42,1929,494,1434
42,4014,684,3391
42,3840,669,3246
44,3018,657,2462
45,3849,734,3244
45,1983,538,1452
48,4572,810,3888
48,3291,717,2683
49,5328,888,4593
50,4206,825,3531
