Size,Total Gates,Depth,CNOTs
4,68,34,24
6,159,70,87
6,132,63,64
8,190,87,98
8,241,85,137
9,277,106,165
10,434,145,294
10,233,106,117
12,495,160,331
12,336,148,196
12,507,133,327
12,432,160,279
14,748,199,524
14,400,177,236
15,637,226,444
15,835,244,613
16,512,225,324
16,791,232,567
18,1050,247,762
18,579,261,367
18,831,294,597
20,667,296,431
20,1099,337,815
20,1216,313,911
21,1003,346,729
21,1462,334,1102
22,689,305,429
24,786,346,502
24,1422,409,1078
24,1185,414,870
24,1827,427,1431
25,1863,496,1476
26,865,373,557
27,1366,472,1011
28,947,409,615
28,1775,523,1371
28,2474,508,1977
30,2640,574,2136
30,1644,568,1248
30,2322,583,1852
30,1011,445,655
32,2359,691,1895
33,1744,591,1308
34,1193,516,789
35,3440,673,2807
35,3044,745,2492
36,2565,724,2041
36,2028,666,1551
36,3699,820,3087
39,2203,760,1686
40,3698,877,3063
40,2993,853,2409
42,4440,970,3720
42,4686,913,3916
42,2412,826,1854
44,3454,997,2810
45,4249,1059,3532
45,2599,874,2001
48,3780,1075,3076
48,5700,1245,4872
49,6399,1210,5493
50,5185,1255,4385
