Size,Total Gates,Depth,CNOTs
4,69,36,27
6,120,60,55
6,141,60,72
8,180,91,92
8,264,99,164
9,276,114,168
10,264,121,153
10,357,108,222
12,303,138,169
12,489,152,331
12,423,162,276
12,501,132,327
14,792,216,575
14,402,192,245
15,822,246,607
15,624,233,438
16,780,234,564
16,486,221,306
18,525,230,322
18,807,285,582
18,1077,281,798
20,1299,351,1004
20,618,277,392
20,618,275,392
20,1077,324,803
21,975,354,711
21,1524,351,1174
22,768,337,519
24,1743,378,1359
24,1104,383,801
24,825,362,553
24,1464,437,1132
25,1824,498,1449
26,822,374,527
27,1464,510,1122
28,1797,513,1407
28,945,413,627
28,2496,534,2013
30,1002,441,661
30,1086,479,745
30,2601,567,2112
30,2373,603,1918
30,1605,558,1224
30,1530,521,1149
32,2217,672,1769
33,1812,624,1392
35,3831,777,3215
35,2970,732,2435
36,3588,804,2994
36,2616,747,2110
36,1929,648,1470
39,2079,710,1581
40,2985,852,2421
40,3729,918,3114
40,3108,891,2544
42,4815,915,4066
42,2388,828,1851
42,4395,966,3696
44,3318,936,2696
45,2631,897,2055
45,4302,1062,3607
48,3888,1092,3208
48,5418,1187,4614
49,6351,1197,5469
50,4836,1182,4061
